Index,Sepal.Length,Sepal.Width,Petal.Length,Petal.Width,Species
134,6.3,2.8,5.1,1.5,virginica
18,5.1,3.5,1.4,0.3,setosa
8,5,3.4,1.5,0.2,setosa
78,6.7,3,5,1.7,versicolor
112,6.4,2.7,5.3,1.9,virginica
28,5.2,3.5,1.5,0.2,setosa
42,4.5,2.3,1.3,0.3,setosa
124,6.3,2.7,4.9,1.8,virginica
17,5.4,3.9,1.3,0.4,setosa
55,6.5,2.8,4.6,1.5,versicolor
65,5.6,2.9,3.6,1.3,versicolor
54,5.5,2.3,4,1.3,versicolor
130,7.2,3,5.8,1.6,virginica
76,6.6,3,4.4,1.4,versicolor
108,7.3,2.9,6.3,1.8,virginica
146,6.7,3,5.2,2.3,virginica
119,7.7,2.6,6.9,2.3,virginica
110,7.2,3.6,6.1,2.5,virginica
139,6,3,4.8,1.8,virginica
107,4.9,2.5,4.5,1.7,virginica
25,4.8,3.4,1.9,0.2,setosa
27,5,3.4,1.6,0.4,setosa
57,6.3,3.3,4.7,1.6,versicolor
64,6.1,2.9,4.7,1.4,versicolor
7,4.6,3.4,1.4,0.3,setosa
12,4.8,3.4,1.6,0.2,setosa
9,4.4,2.9,1.4,0.2,setosa
101,6.3,3.3,6,2.5,virginica
20,5.1,3.8,1.5,0.3,setosa
94,5,2.3,3.3,1,versicolor
44,5,3.5,1.6,0.6,setosa
23,4.6,3.6,1,0.2,setosa
29,5.2,3.4,1.4,0.2,setosa
68,5.8,2.7,4.1,1,versicolor
72,6.1,2.8,4,1.3,versicolor
16,5.7,4.4,1.5,0.4,setosa
77,6.8,2.8,4.8,1.4,versicolor
3,4.7,3.2,1.3,0.2,setosa
53,6.9,3.1,4.9,1.5,versicolor
118,7.7,3.8,6.7,2.2,virginica
41,5,3.5,1.3,0.3,setosa
11,5.4,3.7,1.5,0.2,setosa
4,4.6,3.1,1.5,0.2,setosa
98,6.2,2.9,4.3,1.3,versicolor
49,5.3,3.7,1.5,0.2,setosa
93,5.8,2.6,4,1.2,versicolor
46,4.8,3,1.4,0.3,setosa
47,5.1,3.8,1.6,0.2,setosa
109,6.7,2.5,5.8,1.8,virginica
102,5.8,2.7,5.1,1.9,virginica
148,6.5,3,5.2,2,virginica
2,4.9,3,1.4,0.2,setosa
150,5.9,3,5.1,1.8,virginica
66,6.7,3.1,4.4,1.4,versicolor
67,5.6,3,4.5,1.5,versicolor
51,7,3.2,4.7,1.4,versicolor
145,6.7,3.3,5.7,2.5,virginica
33,5.2,4.1,1.5,0.1,setosa
81,5.5,2.4,3.8,1.1,versicolor
105,6.5,3,5.8,2.2,virginica
59,6.6,2.9,4.6,1.3,versicolor
31,4.8,3.1,1.6,0.2,setosa
144,6.8,3.2,5.9,2.3,virginica
117,6.5,3,5.5,1.8,virginica
135,6.1,2.6,5.6,1.4,virginica
26,5,3,1.6,0.2,setosa
123,7.7,2.8,6.7,2,virginica
129,6.4,2.8,5.6,2.1,virginica
5,5,3.6,1.4,0.2,setosa
56,5.7,2.8,4.5,1.3,versicolor
99,5.1,2.5,3,1.1,versicolor
147,6.3,2.5,5,1.9,virginica
122,5.6,2.8,4.9,2,virginica
125,6.7,3.3,5.7,2.1,virginica
149,6.2,3.4,5.4,2.3,virginica
111,6.5,3.2,5.1,2,virginica
113,6.8,3,5.5,2.1,virginica
19,5.7,3.8,1.7,0.3,setosa
38,4.9,3.6,1.4,0.1,setosa
